,age,yes,n
0,18,374,981
1,19,237,674
2,20,260,687
3,21,315,850
4,22,306,891
5,23,380,1014
6,24,413,1125
7,25,424,1174
8,26,418,1132
9,27,426,1170
10,28,451,1197
11,29,450,1193
12,30,583,1449
13,31,502,1261
14,32,579,1414
15,33,593,1470
16,34,635,1479
17,35,636,1566
18,36,641,1485
19,37,626,1450
20,38,635,1601
21,39,645,1455
22,40,834,1996
23,41,597,1439
24,42,787,1904
25,43,756,1750
26,44,708,1698
27,45,765,1893
28,46,714,1741
29,47,754,1870
30,48,670,1693
31,49,673,1649
32,50,831,2112
33,51,596,1476
34,52,687,1762
35,53,615,1593
36,54,615,1568
37,55,644,1667
38,56,605,1518
39,57,655,1704
40,58,506,1262
41,59,491,1203
42,60,599,1488
43,61,458,1091
44,62,539,1270
45,63,416,981
46,64,425,956
47,65,533,1261
48,66,376,857
49,67,426,888
50,68,337,820
51,69,341,776
52,70,414,1002
53,71,279,659
54,72,354,842
55,73,326,715
56,74,284,668
57,75,329,760
58,76,234,564
59,77,292,642
60,78,237,564
61,79,192,444
62,80,277,643
63,81,155,368
64,82,159,433
65,83,136,332
66,84,102,269
67,85,83,210
68,86,57,181
69,87,55,143
70,88,41,108
71,89,32,71
72,90,30,79
73,91,21,43
74,92,13,29
75,93,8,24
76,94,3,12
77,95,4,9
78,96,2,4
79,97,3,7
