,density,pred,size,surv,propsurv,pred_id,size_id
0,10,no,big,9,0.9,0,1
1,10,no,big,10,1.0,0,1
2,10,no,big,7,0.7,0,1
3,10,no,big,10,1.0,0,1
4,10,no,small,9,0.9,0,0
5,10,no,small,9,0.9,0,0
6,10,no,small,10,1.0,0,0
7,10,no,small,9,0.9,0,0
8,10,pred,big,4,0.4,1,1
9,10,pred,big,9,0.9,1,1
10,10,pred,big,7,0.7,1,1
11,10,pred,big,6,0.6,1,1
12,10,pred,small,7,0.7,1,0
13,10,pred,small,5,0.5,1,0
14,10,pred,small,9,0.9,1,0
15,10,pred,small,9,0.9,1,0
16,25,no,big,24,0.96,0,1
17,25,no,big,23,0.92,0,1
18,25,no,big,22,0.88,0,1
19,25,no,big,25,1.0,0,1
20,25,no,small,23,0.92,0,0
21,25,no,small,23,0.92,0,0
22,25,no,small,23,0.92,0,0
23,25,no,small,21,0.84,0,0
24,25,pred,big,6,0.24,1,1
25,25,pred,big,13,0.52,1,1
26,25,pred,big,4,0.16,1,1
27,25,pred,big,9,0.36,1,1
28,25,pred,small,13,0.52,1,0
29,25,pred,small,20,0.8,1,0
30,25,pred,small,8,0.32,1,0
31,25,pred,small,10,0.4,1,0
32,35,no,big,34,0.971428571428571,0,1
33,35,no,big,33,0.942857142857143,0,1
34,35,no,big,33,0.942857142857143,0,1
35,35,no,big,31,0.885714285714286,0,1
36,35,no,small,31,0.885714285714286,0,0
37,35,no,small,35,1.0,0,0
38,35,no,small,33,0.942857142857143,0,0
39,35,no,small,32,0.914285714285714,0,0
40,35,pred,big,4,0.114285714285714,1,1
41,35,pred,big,12,0.342857142857143,1,1
42,35,pred,big,13,0.371428571428571,1,1
43,35,pred,big,14,0.4,1,1
44,35,pred,small,22,0.628571428571429,1,0
45,35,pred,small,12,0.342857142857143,1,0
46,35,pred,small,31,0.885714285714286,1,0
47,35,pred,small,17,0.485714285714286,1,0
